library,CWE_id,fix_commit_hash
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/ee119d4a498979525046fba1c3dd3f13a039fbb1
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/bcd54671b0d32e462b9576ac34f847d0d8f47e1b
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/37054f9134af917ded7f40c7d663fa490d85c7d4
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/368af875869a204b4ac552b9ddda59f6a46a56ec
tensorflow,CWE-476,https://github.com/tensorflow/tensorflow/commit/9a133d73ae4b4664d22bd1aa6d654fec13c52ee1
tensorflow,CWE-787,https://github.com/tensorflow/tensorflow/commit/698e01511f62a3c185754db78ebce0eee1f0184d
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/9ba2e103731f3cebc9c1711d1ef5d51e120c05f4
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/48f594cba4cf6c33c81f59fec9eac1af0aa4c951
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/087859fce9409991164f727735743da4cb310fd4
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/7d57263720c7d2c88861f2f325e8ca1bd02deb38
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/c974dc5caa85831452e66676c60ad8e97c73fd6b
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/07b75ffa453b1ec9189371244d21b6684503340b
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/9cb0a05d8a997ddb2772987534ec751efb5065ce
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/e1470f465d09525390010118429ca15233b99cfa
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/6d94002a09711d297dbba90390d5482b76113899
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/b5cdbf12ffcaaffecf98f22a6be5a64bb96e4f58
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/401dc1b3db4e7412f4fc50f96c25fd564d593f4c
tensorflow,CWE-362,https://github.com/tensorflow/tensorflow/commit/45370f0d3ba3eb8843a3a255ed60e22b3c132eb2
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/66f452d2217b155b697fc6d6cef5f56599ee2bbc
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/b47be308c4b5ac7babd6400a8fb40c3d8bf163d6
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/e35be978351a8578549d30b6f483825d36dc0f8b
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/e07e48b2e0908333a36f1c5726a9406a83b3ec90
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/82e6203221865de4008445b13c69b6826d2b28d9
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/7ae2af34087fb4b5c8915279efd03da3b81028bc
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/f60e73456ed6c0e121a9d2b308f9c9f8f9a3cdb7
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/51300ba1cc2f487aefec6e6631fef03b0e08b298
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/1d04d7d93f4ed3854abf75d6b712d72c3f70d6b6
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/4253f96a58486ffe84b61c0415bb234a4632ee73
tensorflow,CWE-20,https://github.com/tensorflow/tensorflow/commit/c57c0b9f3a4f8684f3489dd9a9ec627ad8b599f5
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/8ee24e7949a203d234489f9da2c5bf45a7d5157d
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/7c8cc4ec69cd348e44ad6a2699057ca88faad3e5
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/aa44812e3e40b1c95586466bc177b07525b787ea
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/febd380da9219e08ea493b5baff765e2ef2d99d5
tensorflow,CWE-20,https://github.com/tensorflow/tensorflow/commit/578e634b4f1c1c684d4b4294f9e5281b2133b3ed
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/e0b6e58c328059829c3eb968136f17aa72b6c876
tensorflow,CWE-20,https://github.com/tensorflow/tensorflow/commit/ff72f8f7902b61992d72fffcfe8b0326f19c4497
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/faa76f39014ed3b5e2c158593b1335522e573c7f
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/704866eabe03a9aeda044ec91a8d0c83fc1ebdbe
tensorflow,CWE-20,https://github.com/tensorflow/tensorflow/commit/ae4794f5154eca0589ec13c86bb27792cc09024a
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/9c1dc920d8ffb4893d6c9d27d1f039607b326743
tensorflow,CWE-121,https://github.com/tensorflow/tensorflow/commit/e07e1c3d26492c06f078c7e5bf2d138043e199c1
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/2dac0812a52cc72661a55487d2bc9ed84fd7b268
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/44bcb14ec77b43854b5b5777d9b36f36303638c0
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/e60741121151ead703ea659dc7ccce5e60afff00
tensorflow,CWE-20,https://github.com/tensorflow/tensorflow/commit/0c36d11574c72e26a5104ef8766e07edd701103b
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/dcd7867de0fea4b72a2b34bd41eb74548dc23886
tensorflow,CWE-190,https://github.com/tensorflow/tensorflow/commit/8fefda402a4c5e313954c1467ed6e350b39d6f58
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/a33a0e8524108a7fe00614194788aad7991ab268
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/81908ee16f7e0efa611c408553271e48f68c9041
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/94330403b70e022f37c61aa503404224d46d8c64
